Price,Close,Volume
Ticker,BBAS3.SA,BBAS3.SA
Date,,
2025-05-02,28.899999618530273,12319300
2025-05-05,29.1200008392334,19470000
2025-05-06,28.899999618530273,20080000
2025-05-07,29.309999465942383,31415700
2025-05-08,29.40999984741211,29500900
2025-05-09,29.530000686645508,19842500
2025-05-12,29.06999969482422,20623700
2025-05-13,29.65999984741211,20288300
2025-05-14,29.760000228881836,19723000
2025-05-15,29.399999618530273,40596400
2025-05-16,25.670000076293945,152180700
2025-05-19,25.040000915527344,60409800
2025-05-20,25.5,28138800
2025-05-21,25.260000228881836,34009800
2025-05-22,25.049999237060547,61464900
2025-05-23,24.420000076293945,35980700
2025-05-26,24.670000076293945,11584100
2025-05-27,24.56999969482422,30416900
2025-05-28,24.079999923706055,31700600
