Price,Close,Volume
Ticker,TUPY3.SA,TUPY3.SA
Date,,
2024-12-02,18.966754913330078,1088500
2024-12-03,19.02326202392578,1180300
2024-12-04,19.296367645263672,735600
2024-12-05,20.49238395690918,2355400
2024-12-06,21.09510040283203,1104600
2024-12-09,21.085683822631836,803400
2024-12-10,21.537721633911133,665000
2024-12-11,22.281700134277344,681300
2024-12-12,21.839080810546875,805900
2024-12-13,21.726070404052734,830900
2024-12-16,21.330537796020508,677800
2024-12-17,21.452964782714844,706200
2024-12-18,21.09510040283203,881800
2024-12-19,21.424711227416992,681400
2024-12-20,21.613061904907227,794100
2024-12-23,21.368207931518555,783400
2024-12-26,21.754323959350586,1100900
2024-12-27,21.84849739074707,2024200
2024-12-30,22.507719039916992,2003700
