Price,Close,Volume
Ticker,LJQQ3.SA,LJQQ3.SA
Date,,
2024-09-02,3.924896717071533,2065800
2024-09-03,4.0005574226379395,3729200
2024-09-04,4.12350606918335,2098500
2024-09-05,4.151878356933594,1816400
2024-09-06,4.066760540008545,2752500
2024-09-09,3.8303210735321045,2029600
2024-09-10,3.8681511878967285,3054700
2024-09-11,3.9059815406799316,1779000
2024-09-12,3.801948070526123,2515600
2024-09-13,3.9154388904571533,1712700
2024-09-16,3.7924907207489014,1744200
2024-09-17,3.7830328941345215,3857900
2024-09-18,3.7452025413513184,5027200
2024-09-19,3.6411690711975098,4179500
2024-09-20,3.5749659538269043,5623000
2024-09-23,3.423644542694092,3329300
2024-09-24,3.3858144283294678,2569700
2024-09-25,3.3101537227630615,2550600
2024-09-26,3.29123854637146,2145300
2024-09-27,3.215578079223633,3313100
2024-09-30,3.121002197265625,5739600
