Price,Close,Volume
Ticker,CEAB3.SA,CEAB3.SA
Date,,
2024-06-03,9.124825477600098,5677300
2024-06-04,8.685766220092773,4344300
2024-06-05,9.267997741699219,3791100
2024-06-06,9.449348449707031,3356600
2024-06-07,9.2202730178833,2125600
2024-06-10,9.2202730178833,1908300
2024-06-11,9.64024543762207,1877100
2024-06-12,9.277543067932129,3064700
2024-06-13,8.981653213500977,2367500
2024-06-14,9.143915176391602,2573500
2024-06-17,9.163005828857422,3062700
2024-06-18,9.124825477600098,1101800
2024-06-19,8.953019142150879,1395100
2024-06-20,8.86711597442627,9391200
2024-06-21,9.210728645324707,2442900
2024-06-24,9.64024543762207,2223300
2024-06-25,9.487527847290039,1250500
2024-06-26,9.09619140625,1529900
2024-06-27,9.372990608215332,1939500
2024-06-28,8.914839744567871,1597200
