Price,Close,Volume
Ticker,CEAB3.SA,CEAB3.SA
Date,,
2024-08-01,8.046263694763184,2732500
2024-08-02,8.552138328552246,3278100
2024-08-05,8.313518524169922,2386300
2024-08-06,8.284884452819824,1835500
2024-08-07,8.857571601867676,2816900
2024-08-08,8.256248474121094,8733800
2024-08-09,8.1703462600708,6458600
2024-08-12,8.87666130065918,5036600
2024-08-13,8.513958930969238,4500900
2024-08-14,8.437600135803223,2549200
2024-08-15,8.685766220092773,3299100
2024-08-16,8.857571601867676,3088500
2024-08-19,9.105735778808594,2333900
2024-08-20,9.201184272766113,1812400
2024-08-21,9.439805030822754,3272300
2024-08-22,9.010287284851074,2148900
2024-08-23,9.869319915771484,3451200
2024-08-26,9.64024543762207,2395100
2024-08-27,10.117485046386719,2543500
2024-08-28,9.897953987121582,2115700
2024-08-29,9.70705795288086,1571800
2024-08-30,9.70705795288086,2357300
