Price,Close,Volume
Ticker,SAPR4.SA,SAPR4.SA
Date,,
2025-05-02,5.96999979019165,717000
2025-05-05,5.960000038146973,954400
2025-05-06,5.929999828338623,452300
2025-05-07,6.119999885559082,1806800
2025-05-08,6.119999885559082,1153100
2025-05-09,5.880000114440918,2132900
2025-05-12,5.889999866485596,1173400
2025-05-13,6.130000114440918,4128600
2025-05-14,5.980000019073486,1501200
2025-05-15,6.150000095367432,1142300
2025-05-16,6.110000133514404,1161300
2025-05-19,6.119999885559082,863600
2025-05-20,6.289999961853027,1150000
2025-05-21,6.360000133514404,902800
2025-05-22,6.309999942779541,1292300
2025-05-23,6.400000095367432,1333800
2025-05-26,6.420000076293945,920700
2025-05-27,6.510000228881836,972800
2025-05-28,6.460000038146973,955500
