Price,Close,Volume
Ticker,CEAB3.SA,CEAB3.SA
Date,,
2024-09-02,9.306177139282227,2102800
2024-09-03,9.506617546081543,3313500
2024-09-04,9.678424835205078,2019900
2024-09-05,9.831140518188477,1502700
2024-09-06,9.754782676696777,2841500
2024-09-09,9.487527847290039,1653000
2024-09-10,9.582976341247559,1213500
2024-09-11,9.554341316223145,1341400
2024-09-12,9.497072219848633,1127400
2024-09-13,10.060215950012207,2443600
2024-09-16,10.346559524536133,2756600
2024-09-17,10.203387260437012,1833800
2024-09-18,10.298835754394531,2495300
2024-09-19,10.260656356811523,3128500
2024-09-20,9.869319915771484,2235000
2024-09-23,9.69751262664795,979200
2024-09-24,9.878865242004395,1652000
2024-09-25,9.802506446838379,1200500
2024-09-26,9.945677757263184,1643400
2024-09-27,9.983858108520508,1380700
2024-09-30,10.0220365524292,1310800
