Price,Close,Volume
Ticker,BBDC4.SA,BBDC4.SA
Date,,
2024-08-01,11.713059425354004,59113900
2024-08-02,11.78664493560791,57959900
2024-08-05,12.681123733520508,133145300
2024-08-06,13.100412368774414,104219100
2024-08-07,13.128365516662598,59096500
2024-08-08,13.277446746826172,44280800
2024-08-09,13.603559494018555,37787700
2024-08-12,13.696734428405762,24117200
2024-08-13,13.864448547363281,36761400
2024-08-14,13.985576629638672,53268600
2024-08-15,14.12533950805664,31738900
2024-08-16,13.948307991027832,49810300
2024-08-19,14.572578430175781,73702900
2024-08-20,14.628484725952148,30434800
2024-08-21,14.563261985778809,25842000
2024-08-22,14.460769653320312,33853100
2024-08-23,14.591215133666992,33620800
2024-08-26,14.544628143310547,13905900
2024-08-27,14.367594718933105,18690000
2024-08-28,14.600532531738281,27179000
2024-08-29,14.563261985778809,29559800
2024-08-30,14.572578430175781,51286000
