Price,Close,Volume
Ticker,BBDC3.SA,BBDC3.SA
Date,,
2025-05-02,12.022749900817871,6102100
2025-05-05,11.960000038146973,4571000
2025-05-06,11.850000381469727,5064000
2025-05-07,11.75,5240700
2025-05-08,13.399999618530273,32245100
2025-05-09,13.260000228881836,15028400
2025-05-12,13.130000114440918,5430600
2025-05-13,13.390000343322754,6477200
2025-05-14,13.3100004196167,8120000
2025-05-15,13.399999618530273,6995800
2025-05-16,13.5,6240700
2025-05-19,13.479999542236328,7222500
2025-05-20,13.710000038146973,7861100
2025-05-21,13.399999618530273,5652800
2025-05-22,13.420000076293945,7268000
2025-05-23,13.529999732971191,7507400
2025-05-26,13.609999656677246,6133000
2025-05-27,13.800000190734863,8935600
2025-05-28,14.039999961853027,20281300
